2024-12-07 20:45:12 | INFO | Saving logs to outputs/crossConcatLpdUnet2D_1/20241207_2045_logs.log...
2024-12-07 20:45:13 | INFO | Cross_Concat_LPD_Unet2D model loaded successfully!
2024-12-07 20:45:13 | INFO | crossConcatLpdUnet2D_1 - number of parameters: 22,792,048
2024-12-07 20:55:58 | DEBUG | 3/200 - batch 75/84 | VRAM: 43.70/47.53GB
2024-12-07 20:56:01 | DEBUG | 3/200 - batch 76/84 | VRAM: 43.70/47.53GB
2024-12-07 20:56:04 | DEBUG | 3/200 - batch 77/84 | VRAM: 43.70/47.53GB
2024-12-07 20:56:06 | DEBUG | 3/200 - batch 78/84 | VRAM: 43.70/47.53GB
2024-12-07 20:56:09 | DEBUG | 3/200 - batch 79/84 | VRAM: 43.70/47.53GB
2024-12-07 20:56:12 | DEBUG | 3/200 - batch 80/84 | VRAM: 43.70/47.53GB
2024-12-07 20:56:15 | DEBUG | 3/200 - batch 81/84 | VRAM: 43.70/47.53GB
2024-12-07 20:56:18 | DEBUG | 3/200 - batch 82/84 | VRAM: 43.70/47.53GB
2024-12-07 20:56:20 | DEBUG | 3/200 - batch 83/84 | VRAM: 43.70/47.53GB
2024-12-07 20:56:23 | DEBUG | 3/200 - batch 84/84 | VRAM: 43.70/47.53GB
2024-12-07 20:56:24 | INFO | 3/200 - loss 7.81e-01; PSNR 20.796; SSIM 0.521
2024-12-07 20:56:24 | DEBUG | 4/200 - batch 1/84 | VRAM: 43.70/47.53GB
2024-12-07 20:56:27 | DEBUG | 4/200 - batch 2/84 | VRAM: 43.70/47.53GB
2024-12-07 20:56:30 | DEBUG | 4/200 - batch 3/84 | VRAM: 43.70/47.53GB
2024-12-07 20:56:33 | DEBUG | 4/200 - batch 4/84 | VRAM: 43.70/47.53GB
2024-12-07 20:56:35 | DEBUG | 4/200 - batch 5/84 | VRAM: 43.70/47.53GB
2024-12-07 20:56:38 | DEBUG | 4/200 - batch 6/84 | VRAM: 43.70/47.53GB
2024-12-07 20:56:41 | DEBUG | 4/200 - batch 7/84 | VRAM: 43.70/47.53GB
2024-12-07 20:56:44 | DEBUG | 4/200 - batch 8/84 | VRAM: 43.70/47.53GB
2024-12-07 20:56:46 | DEBUG | 4/200 - batch 9/84 | VRAM: 43.70/47.53GB
2024-12-07 20:56:49 | DEBUG | 4/200 - batch 10/84 | VRAM: 43.70/47.53GB
2024-12-07 20:56:52 | DEBUG | 4/200 - batch 11/84 | VRAM: 43.70/47.53GB
2024-12-07 20:56:55 | DEBUG | 4/200 - batch 12/84 | VRAM: 43.70/47.53GB
