2024-12-07 16:32:24 | INFO | Saving logs to outputs/crossImageLpdUnet2D_1/20241207_1632_logs.log...
2024-12-07 16:32:25 | INFO | Cross_Image_LPD_Unet2D model loaded successfully!
2024-12-07 16:32:25 | INFO | crossImageLpdUnet2D_1 - number of parameters: 12,946,314
2024-12-07 16:38:18 | DEBUG | 3/200 - batch 45/84 | VRAM: 26.33/47.53GB
2024-12-07 16:38:20 | DEBUG | 3/200 - batch 46/84 | VRAM: 26.33/47.53GB
2024-12-07 16:38:21 | DEBUG | 3/200 - batch 47/84 | VRAM: 26.33/47.53GB
2024-12-07 16:38:23 | DEBUG | 3/200 - batch 48/84 | VRAM: 26.33/47.53GB
2024-12-07 16:38:25 | DEBUG | 3/200 - batch 49/84 | VRAM: 26.33/47.53GB
2024-12-07 16:38:26 | DEBUG | 3/200 - batch 50/84 | VRAM: 26.33/47.53GB
2024-12-07 16:38:28 | DEBUG | 3/200 - batch 51/84 | VRAM: 26.33/47.53GB
2024-12-07 16:38:29 | DEBUG | 3/200 - batch 52/84 | VRAM: 26.33/47.53GB
2024-12-07 16:38:31 | DEBUG | 3/200 - batch 53/84 | VRAM: 26.33/47.53GB
2024-12-07 16:38:33 | DEBUG | 3/200 - batch 54/84 | VRAM: 26.33/47.53GB
2024-12-07 16:38:34 | DEBUG | 3/200 - batch 55/84 | VRAM: 26.33/47.53GB
2024-12-07 16:38:36 | DEBUG | 3/200 - batch 56/84 | VRAM: 26.33/47.53GB
2024-12-07 16:38:38 | DEBUG | 3/200 - batch 57/84 | VRAM: 26.33/47.53GB
2024-12-07 16:38:39 | DEBUG | 3/200 - batch 58/84 | VRAM: 26.33/47.53GB
2024-12-07 16:38:41 | DEBUG | 3/200 - batch 59/84 | VRAM: 26.33/47.53GB
2024-12-07 16:38:42 | DEBUG | 3/200 - batch 60/84 | VRAM: 26.33/47.53GB
2024-12-07 16:38:44 | DEBUG | 3/200 - batch 61/84 | VRAM: 26.33/47.53GB
2024-12-07 16:38:46 | DEBUG | 3/200 - batch 62/84 | VRAM: 26.33/47.53GB
2024-12-07 16:38:47 | DEBUG | 3/200 - batch 63/84 | VRAM: 26.33/47.53GB
2024-12-07 16:38:49 | DEBUG | 3/200 - batch 64/84 | VRAM: 26.33/47.53GB
2024-12-07 16:38:51 | DEBUG | 3/200 - batch 65/84 | VRAM: 26.33/47.53GB
2024-12-07 16:38:52 | DEBUG | 3/200 - batch 66/84 | VRAM: 26.33/47.53GB
2024-12-07 16:38:54 | DEBUG | 3/200 - batch 67/84 | VRAM: 26.33/47.53GB
2024-12-07 16:38:56 | DEBUG | 3/200 - batch 68/84 | VRAM: 26.33/47.53GB
2024-12-07 16:38:57 | DEBUG | 3/200 - batch 69/84 | VRAM: 26.33/47.53GB
2024-12-07 16:38:59 | DEBUG | 3/200 - batch 70/84 | VRAM: 26.33/47.53GB
2024-12-07 16:39:01 | DEBUG | 3/200 - batch 71/84 | VRAM: 26.33/47.53GB
2024-12-07 16:39:02 | DEBUG | 3/200 - batch 72/84 | VRAM: 26.33/47.53GB
2024-12-07 16:39:04 | DEBUG | 3/200 - batch 73/84 | VRAM: 26.33/47.53GB
2024-12-07 16:39:06 | DEBUG | 3/200 - batch 74/84 | VRAM: 26.33/47.53GB
2024-12-07 16:39:07 | DEBUG | 3/200 - batch 75/84 | VRAM: 26.33/47.53GB
2024-12-07 16:39:09 | DEBUG | 3/200 - batch 76/84 | VRAM: 26.33/47.53GB
2024-12-07 16:39:10 | DEBUG | 3/200 - batch 77/84 | VRAM: 26.33/47.53GB
2024-12-07 16:39:12 | DEBUG | 3/200 - batch 78/84 | VRAM: 26.33/47.53GB
2024-12-07 16:39:14 | DEBUG | 3/200 - batch 79/84 | VRAM: 26.33/47.53GB
2024-12-07 16:39:15 | DEBUG | 3/200 - batch 80/84 | VRAM: 26.33/47.53GB
2024-12-07 16:39:17 | DEBUG | 3/200 - batch 81/84 | VRAM: 26.33/47.53GB
2024-12-07 16:39:19 | DEBUG | 3/200 - batch 82/84 | VRAM: 26.33/47.53GB
2024-12-07 16:39:20 | DEBUG | 3/200 - batch 83/84 | VRAM: 26.33/47.53GB
2024-12-07 16:39:22 | DEBUG | 3/200 - batch 84/84 | VRAM: 26.33/47.53GB
2024-12-07 16:39:22 | INFO | 3/200 - loss 7.07e-01; PSNR 21.275; SSIM 0.309
2024-12-07 16:39:22 | DEBUG | 4/200 - batch 1/84 | VRAM: 26.33/47.53GB
2024-12-07 16:39:24 | DEBUG | 4/200 - batch 2/84 | VRAM: 26.33/47.53GB
2024-12-07 16:39:26 | DEBUG | 4/200 - batch 3/84 | VRAM: 26.33/47.53GB
2024-12-07 16:39:27 | DEBUG | 4/200 - batch 4/84 | VRAM: 26.33/47.53GB
2024-12-07 16:39:29 | DEBUG | 4/200 - batch 5/84 | VRAM: 26.33/47.53GB
2024-12-07 16:39:31 | DEBUG | 4/200 - batch 6/84 | VRAM: 26.33/47.53GB
2024-12-07 16:39:32 | DEBUG | 4/200 - batch 7/84 | VRAM: 26.33/47.53GB
2024-12-07 16:39:34 | DEBUG | 4/200 - batch 8/84 | VRAM: 26.33/47.53GB
2024-12-07 16:39:35 | DEBUG | 4/200 - batch 9/84 | VRAM: 26.33/47.53GB
2024-12-07 16:39:37 | DEBUG | 4/200 - batch 10/84 | VRAM: 26.33/47.53GB
2024-12-07 16:39:38 | DEBUG | 4/200 - batch 11/84 | VRAM: 26.33/47.53GB
2024-12-07 16:39:40 | DEBUG | 4/200 - batch 12/84 | VRAM: 26.33/47.53GB
2024-12-07 16:39:42 | DEBUG | 4/200 - batch 13/84 | VRAM: 26.33/47.53GB
