2024-12-09 13:14:30 | INFO | Saving logs to outputs/crossUpdateLpdUnet2D_1/20241209_1314_logs.log...
2024-12-09 13:14:32 | INFO | Cross_Update_LPD_Unet2D model loaded successfully!
2024-12-09 13:14:33 | INFO | crossUpdateLpdUnet2D_1 - number of parameters: 22,543,894
2024-12-09 13:20:21 | DEBUG | 2/200 - batch 70/84 | VRAM: 36.54/47.53GB
2024-12-09 13:20:24 | DEBUG | 2/200 - batch 71/84 | VRAM: 36.54/47.53GB
2024-12-09 13:20:26 | DEBUG | 2/200 - batch 72/84 | VRAM: 36.54/47.53GB
2024-12-09 13:20:28 | DEBUG | 2/200 - batch 73/84 | VRAM: 36.54/47.53GB
2024-12-09 13:20:30 | DEBUG | 2/200 - batch 74/84 | VRAM: 36.54/47.53GB
2024-12-09 13:20:33 | DEBUG | 2/200 - batch 75/84 | VRAM: 36.54/47.53GB
2024-12-09 13:20:35 | DEBUG | 2/200 - batch 76/84 | VRAM: 36.54/47.53GB
2024-12-09 13:20:37 | DEBUG | 2/200 - batch 77/84 | VRAM: 36.54/47.53GB
2024-12-09 13:20:39 | DEBUG | 2/200 - batch 78/84 | VRAM: 36.54/47.53GB
2024-12-09 13:20:42 | DEBUG | 2/200 - batch 79/84 | VRAM: 36.54/47.53GB
2024-12-09 13:20:44 | DEBUG | 2/200 - batch 80/84 | VRAM: 36.54/47.53GB
2024-12-09 13:20:46 | DEBUG | 2/200 - batch 81/84 | VRAM: 36.54/47.53GB
2024-12-09 13:20:48 | DEBUG | 2/200 - batch 82/84 | VRAM: 36.54/47.53GB
2024-12-09 13:20:50 | DEBUG | 2/200 - batch 83/84 | VRAM: 36.54/47.53GB
2024-12-09 13:20:52 | DEBUG | 2/200 - batch 84/84 | VRAM: 36.54/47.53GB
2024-12-09 13:20:53 | INFO | 2/200 - loss 8.44e-01; PSNR 20.101; SSIM 0.235
2024-12-09 13:20:54 | DEBUG | 3/200 - batch 1/84 | VRAM: 36.54/47.53GB
2024-12-09 13:20:56 | DEBUG | 3/200 - batch 2/84 | VRAM: 36.54/47.53GB
2024-12-09 13:20:58 | DEBUG | 3/200 - batch 3/84 | VRAM: 36.54/47.53GB
2024-12-09 13:21:00 | DEBUG | 3/200 - batch 4/84 | VRAM: 36.54/47.53GB
2024-12-09 13:21:02 | DEBUG | 3/200 - batch 5/84 | VRAM: 36.54/47.53GB
2024-12-09 13:21:05 | DEBUG | 3/200 - batch 6/84 | VRAM: 36.54/47.53GB
2024-12-09 13:21:07 | DEBUG | 3/200 - batch 7/84 | VRAM: 36.54/47.53GB
2024-12-09 13:21:09 | DEBUG | 3/200 - batch 8/84 | VRAM: 36.54/47.53GB
2024-12-09 13:21:11 | DEBUG | 3/200 - batch 9/84 | VRAM: 36.54/47.53GB
2024-12-09 13:21:14 | DEBUG | 3/200 - batch 10/84 | VRAM: 36.54/47.53GB
2024-12-09 13:21:16 | DEBUG | 3/200 - batch 11/84 | VRAM: 36.54/47.53GB
2024-12-09 13:21:18 | DEBUG | 3/200 - batch 12/84 | VRAM: 36.54/47.53GB
2024-12-09 13:21:20 | DEBUG | 3/200 - batch 13/84 | VRAM: 36.54/47.53GB
2024-12-09 13:21:23 | DEBUG | 3/200 - batch 14/84 | VRAM: 36.54/47.53GB
2024-12-09 13:21:25 | DEBUG | 3/200 - batch 15/84 | VRAM: 36.54/47.53GB
2024-12-09 13:21:27 | DEBUG | 3/200 - batch 16/84 | VRAM: 36.54/47.53GB
2024-12-09 13:21:29 | DEBUG | 3/200 - batch 17/84 | VRAM: 36.54/47.53GB
2024-12-09 13:21:32 | DEBUG | 3/200 - batch 18/84 | VRAM: 36.54/47.53GB
2024-12-09 13:21:34 | DEBUG | 3/200 - batch 19/84 | VRAM: 36.54/47.53GB
2024-12-09 13:21:36 | DEBUG | 3/200 - batch 20/84 | VRAM: 36.54/47.53GB
2024-12-09 13:21:39 | DEBUG | 3/200 - batch 21/84 | VRAM: 36.54/47.53GB
2024-12-09 13:21:41 | DEBUG | 3/200 - batch 22/84 | VRAM: 36.54/47.53GB
2024-12-09 13:21:43 | DEBUG | 3/200 - batch 23/84 | VRAM: 36.54/47.53GB
2024-12-09 13:21:45 | DEBUG | 3/200 - batch 24/84 | VRAM: 36.54/47.53GB
2024-12-09 13:21:48 | DEBUG | 3/200 - batch 25/84 | VRAM: 36.54/47.53GB
2024-12-09 13:21:50 | DEBUG | 3/200 - batch 26/84 | VRAM: 36.54/47.53GB
2024-12-09 13:21:52 | DEBUG | 3/200 - batch 27/84 | VRAM: 36.54/47.53GB
2024-12-09 13:21:55 | DEBUG | 3/200 - batch 28/84 | VRAM: 36.54/47.53GB
2024-12-09 13:21:57 | DEBUG | 3/200 - batch 29/84 | VRAM: 36.54/47.53GB
2024-12-09 13:22:00 | DEBUG | 3/200 - batch 30/84 | VRAM: 36.54/47.53GB
2024-12-09 13:22:02 | DEBUG | 3/200 - batch 31/84 | VRAM: 36.54/47.53GB
2024-12-09 13:22:04 | DEBUG | 3/200 - batch 32/84 | VRAM: 36.54/47.53GB
2024-12-09 13:22:07 | DEBUG | 3/200 - batch 33/84 | VRAM: 36.54/47.53GB
2024-12-09 13:22:09 | DEBUG | 3/200 - batch 34/84 | VRAM: 36.54/47.53GB
2024-12-09 13:22:11 | DEBUG | 3/200 - batch 35/84 | VRAM: 36.54/47.53GB
2024-12-09 13:22:13 | DEBUG | 3/200 - batch 36/84 | VRAM: 36.54/47.53GB
2024-12-09 13:22:16 | DEBUG | 3/200 - batch 37/84 | VRAM: 36.54/47.53GB
2024-12-09 13:22:18 | DEBUG | 3/200 - batch 38/84 | VRAM: 36.54/47.53GB
2024-12-09 13:22:20 | DEBUG | 3/200 - batch 39/84 | VRAM: 36.54/47.53GB
2024-12-09 13:22:22 | DEBUG | 3/200 - batch 40/84 | VRAM: 36.54/47.53GB
2024-12-09 13:22:25 | DEBUG | 3/200 - batch 41/84 | VRAM: 36.54/47.53GB
2024-12-09 13:22:27 | DEBUG | 3/200 - batch 42/84 | VRAM: 36.54/47.53GB
2024-12-09 13:22:29 | DEBUG | 3/200 - batch 43/84 | VRAM: 36.54/47.53GB
2024-12-09 13:22:31 | DEBUG | 3/200 - batch 44/84 | VRAM: 36.54/47.53GB
2024-12-09 13:22:34 | DEBUG | 3/200 - batch 45/84 | VRAM: 36.54/47.53GB
2024-12-09 13:22:36 | DEBUG | 3/200 - batch 46/84 | VRAM: 36.54/47.53GB
2024-12-09 13:22:38 | DEBUG | 3/200 - batch 47/84 | VRAM: 36.54/47.53GB
2024-12-09 13:22:41 | DEBUG | 3/200 - batch 48/84 | VRAM: 36.54/47.53GB
2024-12-09 13:22:43 | DEBUG | 3/200 - batch 49/84 | VRAM: 36.54/47.53GB
2024-12-09 13:22:45 | DEBUG | 3/200 - batch 50/84 | VRAM: 36.54/47.53GB
2024-12-09 13:22:47 | DEBUG | 3/200 - batch 51/84 | VRAM: 36.54/47.53GB
2024-12-09 13:22:49 | DEBUG | 3/200 - batch 52/84 | VRAM: 36.54/47.53GB
2024-12-09 13:22:52 | DEBUG | 3/200 - batch 53/84 | VRAM: 36.54/47.53GB
2024-12-09 13:22:54 | DEBUG | 3/200 - batch 54/84 | VRAM: 36.54/47.53GB
2024-12-09 13:22:56 | DEBUG | 3/200 - batch 55/84 | VRAM: 36.54/47.53GB
2024-12-09 13:22:58 | DEBUG | 3/200 - batch 56/84 | VRAM: 36.54/47.53GB
2024-12-09 13:23:01 | DEBUG | 3/200 - batch 57/84 | VRAM: 36.54/47.53GB
2024-12-09 13:23:03 | DEBUG | 3/200 - batch 58/84 | VRAM: 36.54/47.53GB
2024-12-09 13:23:05 | DEBUG | 3/200 - batch 59/84 | VRAM: 36.54/47.53GB
2024-12-09 13:23:08 | DEBUG | 3/200 - batch 60/84 | VRAM: 36.54/47.53GB
2024-12-09 13:23:10 | DEBUG | 3/200 - batch 61/84 | VRAM: 36.54/47.53GB
2024-12-09 13:23:12 | DEBUG | 3/200 - batch 62/84 | VRAM: 36.54/47.53GB
2024-12-09 13:23:15 | DEBUG | 3/200 - batch 63/84 | VRAM: 36.54/47.53GB
2024-12-09 13:23:17 | DEBUG | 3/200 - batch 64/84 | VRAM: 36.54/47.53GB
2024-12-09 13:23:19 | DEBUG | 3/200 - batch 65/84 | VRAM: 36.54/47.53GB
2024-12-09 13:23:21 | DEBUG | 3/200 - batch 66/84 | VRAM: 36.54/47.53GB
2024-12-09 13:23:24 | DEBUG | 3/200 - batch 67/84 | VRAM: 36.54/47.53GB
2024-12-09 13:23:26 | DEBUG | 3/200 - batch 68/84 | VRAM: 36.54/47.53GB
2024-12-09 13:23:28 | DEBUG | 3/200 - batch 69/84 | VRAM: 36.54/47.53GB
2024-12-09 13:23:30 | DEBUG | 3/200 - batch 70/84 | VRAM: 36.54/47.53GB
2024-12-09 13:23:32 | DEBUG | 3/200 - batch 71/84 | VRAM: 36.54/47.53GB
2024-12-09 13:23:35 | DEBUG | 3/200 - batch 72/84 | VRAM: 36.54/47.53GB
2024-12-09 13:23:37 | DEBUG | 3/200 - batch 73/84 | VRAM: 36.54/47.53GB
2024-12-09 13:23:39 | DEBUG | 3/200 - batch 74/84 | VRAM: 36.54/47.53GB
2024-12-09 13:23:41 | DEBUG | 3/200 - batch 75/84 | VRAM: 36.54/47.53GB
2024-12-09 13:23:44 | DEBUG | 3/200 - batch 76/84 | VRAM: 36.54/47.53GB
