2024-11-24 20:38:10 | DEBUG | 3/200 - batch 15/84 | VRAM: 28.08/47.53GB
2024-11-24 20:38:11 | DEBUG | 3/200 - batch 16/84 | VRAM: 28.08/47.53GB
2024-11-24 20:38:13 | DEBUG | 3/200 - batch 17/84 | VRAM: 28.08/47.53GB
2024-11-24 20:38:15 | DEBUG | 3/200 - batch 18/84 | VRAM: 28.08/47.53GB
2024-11-24 20:38:17 | DEBUG | 3/200 - batch 19/84 | VRAM: 28.08/47.53GB
2024-11-24 20:38:19 | DEBUG | 3/200 - batch 20/84 | VRAM: 28.08/47.53GB
2024-11-24 20:38:21 | DEBUG | 3/200 - batch 21/84 | VRAM: 28.08/47.53GB
2024-11-24 20:38:23 | DEBUG | 3/200 - batch 22/84 | VRAM: 28.08/47.53GB
2024-11-24 20:38:24 | DEBUG | 3/200 - batch 23/84 | VRAM: 28.08/47.53GB
2024-11-24 20:38:26 | DEBUG | 3/200 - batch 24/84 | VRAM: 28.08/47.53GB
2024-11-24 20:38:28 | DEBUG | 3/200 - batch 25/84 | VRAM: 28.08/47.53GB
2024-11-24 20:38:30 | DEBUG | 3/200 - batch 26/84 | VRAM: 28.08/47.53GB
2024-11-24 20:38:32 | DEBUG | 3/200 - batch 27/84 | VRAM: 28.08/47.53GB
2024-11-24 20:38:34 | DEBUG | 3/200 - batch 28/84 | VRAM: 28.08/47.53GB
2024-11-24 20:38:36 | DEBUG | 3/200 - batch 29/84 | VRAM: 28.08/47.53GB
2024-11-24 20:38:38 | DEBUG | 3/200 - batch 30/84 | VRAM: 28.08/47.53GB
2024-11-24 20:38:40 | DEBUG | 3/200 - batch 31/84 | VRAM: 28.08/47.53GB
2024-11-24 20:38:41 | DEBUG | 3/200 - batch 32/84 | VRAM: 28.08/47.53GB
2024-11-24 20:38:43 | DEBUG | 3/200 - batch 33/84 | VRAM: 28.08/47.53GB
2024-11-24 20:38:45 | DEBUG | 3/200 - batch 34/84 | VRAM: 28.08/47.53GB
2024-11-24 20:38:47 | DEBUG | 3/200 - batch 35/84 | VRAM: 28.08/47.53GB
2024-11-24 20:38:49 | DEBUG | 3/200 - batch 36/84 | VRAM: 28.08/47.53GB
2024-11-24 20:38:51 | DEBUG | 3/200 - batch 37/84 | VRAM: 28.08/47.53GB
2024-11-24 20:38:53 | DEBUG | 3/200 - batch 38/84 | VRAM: 28.08/47.53GB
2024-11-24 20:38:55 | DEBUG | 3/200 - batch 39/84 | VRAM: 28.08/47.53GB
2024-11-24 20:38:57 | DEBUG | 3/200 - batch 40/84 | VRAM: 28.08/47.53GB
2024-11-24 20:38:59 | DEBUG | 3/200 - batch 41/84 | VRAM: 28.08/47.53GB
